Price,Close,High,Low,Open,Volume,bull_egf,bear_egf,marker_bull_egf,marker_bear_egf
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,
Date,,,,,,,,,
2025-01-07,140.13999938964844,153.1300048828125,140.00999450683594,153.02999877929688,351782200,False,True,,
2025-01-08,140.11000061035156,143.9499969482422,137.55999755859375,142.5800018310547,227349900,False,False,,
2025-01-10,135.91000366210938,139.9199981689453,134.22000122070312,137.4499969482422,207602500,False,False,,
2025-01-13,133.22999572753906,133.49000549316406,129.50999450683594,129.99000549316406,204808900,False,False,,
2025-01-14,131.75999450683594,136.3800048828125,130.0500030517578,136.0500030517578,195590500,False,False,,
2025-01-15,136.24000549316406,136.4499969482422,131.2899932861328,133.64999389648438,185217300,False,False,,
2025-01-16,133.57000732421875,138.75,133.49000549316406,138.63999938964844,209235600,False,True,,
2025-01-17,137.7100067138672,138.5,135.4600067138672,136.69000244140625,201188800,False,False,,
2025-01-21,140.8300018310547,141.8300018310547,137.08999633789062,139.16000366210938,197749000,False,False,,
2025-01-22,147.07000732421875,147.7899932861328,143.6699981689453,144.66000366210938,237651400,False,False,,
2025-01-23,147.22000122070312,147.22999572753906,143.72000122070312,145.0500030517578,155915500,False,False,,
2025-01-24,142.6199951171875,148.97000122070312,141.8800048828125,148.3699951171875,234657600,False,True,,
2025-01-27,118.41999816894531,128.39999389648438,116.69999694824219,124.80000305175781,818830900,False,False,,
2025-01-28,128.99000549316406,129.0,116.25,121.80999755859375,579666400,False,False,,
2025-01-29,123.69999694824219,126.88999938964844,120.05000305175781,126.5,467120600,False,False,,
2025-01-30,124.6500015258789,125.0,118.0999984741211,123.0999984741211,392925500,False,False,,
2025-01-31,120.06999969482422,127.8499984741211,119.19000244140625,123.77999877929688,390372900,False,False,,
2025-02-03,116.66000366210938,118.56999969482422,113.01000213623047,114.75,371235700,False,False,,
2025-02-04,118.6500015258789,121.19999694824219,116.69999694824219,116.95999908447266,256550000,False,False,,
2025-02-05,124.83000183105469,125.0,120.76000213623047,121.76000213623047,262230800,False,False,,
2025-02-06,128.67999267578125,128.77000427246094,125.20999908447266,127.41999816894531,251483600,False,False,,
2025-02-07,129.83999633789062,130.3699951171875,125.0,129.22000122070312,228186300,False,False,,
2025-02-10,133.57000732421875,135.0,129.9600067138672,130.08999633789062,216989100,False,False,,
2025-02-11,132.8000030517578,134.47999572753906,131.02000427246094,132.5800018310547,178902400,False,False,,
2025-02-12,131.13999938964844,132.24000549316406,129.0800018310547,130.02000427246094,160278600,False,False,,
2025-02-13,135.2899932861328,136.5,131.1699981689453,131.55999755859375,197430000,False,False,,
2025-02-14,138.85000610351562,139.25,135.5,136.47999572753906,195479600,False,False,,
2025-02-18,139.39999389648438,143.44000244140625,137.92999267578125,141.27000427246094,219176600,False,False,,
2025-02-19,139.22999572753906,141.36000061035156,137.22000122070312,139.50999450683594,167536000,False,False,,
2025-02-20,140.11000061035156,140.66000366210938,136.7899932861328,140.02999877929688,143903600,False,False,,
2025-02-21,134.42999267578125,141.4600067138672,134.02999877929688,140.0399932861328,228217600,False,False,,
2025-02-24,130.27999877929688,138.58999633789062,130.0800018310547,136.55999755859375,251381100,False,False,,
2025-02-25,126.62999725341797,130.1999969482422,124.44000244140625,129.97999572753906,271428700,False,False,,
2025-02-26,131.27999877929688,133.72999572753906,128.49000549316406,129.99000549316406,322553800,False,False,,
2025-02-27,120.1500015258789,135.00999450683594,120.01000213623047,135.0,443175800,False,True,,
2025-02-28,124.91999816894531,125.08999633789062,116.4000015258789,118.0199966430664,388160100,False,False,,
